model,overall_score_rate,Correlation Analysis,Contingency Table Test,Distribution Compliance Test,Variance Test,Descriptive Statistics
overall-llama3_8b_instruct_one-shot-CoT,0.28977,0.27381,0.16406,0.16102,0.07377,0.74517
overall-llama3_8b_one-shot,0.3233,0.19048,0.08203,0.20339,0.2418,0.83398
overall-llama3_8b_instruct_one-shot,0.27343,0.19643,0.125,0.14831,0.09426,0.7529
overall-llama2_13b_zero-shot,0.092,0.01786,0.00391,0.08475,0.03279,0.28958
overall-llama2_7b_one-shot-CoT,0.16595,0.0119,0.07422,0.07203,0.21721,0.39382
overall-llama3_8b_zero-shot,0.25365,0.0119,0.00391,0.16525,0.21311,0.77606
overall-llama2_7b_one-shot,0.14961,0.00595,0.0625,0.05932,0.19262,0.37066
overall-llama3_8b_instruct_zero-shot-CoT,0.11178,0.16071,0.125,0.07627,0.0041,0.20077
overall-llama3_8b_zero-shot-CoT,0.21926,0.02381,0.125,0.13983,0.12295,0.60232
overall-llama2_13b_one-shot,0.17971,0.09524,0.05469,0.09322,0.02049,0.58687
overall-llama3_8b_instruct_zero-shot,0.0963,0.07738,0.10547,0.05085,0.0041,0.2278
overall-llama2_13b_one-shot-CoT,0.20378,0.125,0.10547,0.12288,0.0123,0.60618
overall-llama3_8b_one-shot-CoT,0.26913,0.20833,0.16797,0.13136,0.06967,0.72201
overall-llama2_7b_zero-shot-CoT,0.07395,0.0119,0.01172,0.02119,0.10656,0.19305
overall-llama2_13b_zero-shot-CoT,0.09286,0.03571,0.01953,0.08051,0.03689,0.26641
overall-llama2_7b_zero-shot,0.08083,0.01786,0.01172,0.02119,0.06967,0.25483
