Model,Invalid Answer,Column Selection Error (CSE),Statistical Task Confusion (STC),Applicability Error (AE),Mixed Errors (CSE+STC),Mixed Errors (CSE+AE),Mixed Errors (STC+AE),Mixed Errors (CSE+STC+AE)
llama3_8b_zero-shot,0.01548,0.03009,0.09028,0.45056,0.02837,0.13156,0.0,0.0
llama3_8b_one-shot-CoT,0.31298,0.02236,0.12812,0.18229,0.03267,0.05245,0.0,0.0
llama2_13b_one-shot,0.02752,0.0963,0.20206,0.20292,0.17799,0.1135,0.0,0.0
llama3_8b_one-shot,0.01376,0.03009,0.15305,0.38607,0.03095,0.06277,0.0,0.0
llama3_8b_instruct_zero-shot,0.13156,0.01806,0.09802,0.44368,0.04385,0.16853,0.0,0.0
llama2_7b_zero-shot-CoT,0.30525,0.1135,0.05245,0.08169,0.15821,0.21496,0.0,0.0
llama2_13b_zero-shot-CoT,0.06707,0.06449,0.18143,0.12296,0.25967,0.21152,0.0,0.0
llama2_7b_one-shot,0.08684,0.10834,0.12468,0.12984,0.21324,0.18745,0.0,0.0
llama3_8b_zero-shot-CoT,0.22442,0.03009,0.11952,0.27773,0.03697,0.092,0.0,0.0
llama3_8b_stats-prompt,0.00688,0.03697,0.15649,0.34222,0.02752,0.06621,0.0,0.0
llama2_13b_stats-prompt,0.01376,0.10662,0.2313,0.15735,0.19175,0.09716,0.0,0.0
llama3_8b_instruct_one-shot-CoT,0.05331,0.04643,0.16079,0.34824,0.03611,0.06535,0.0,0.0
llama2_7b_zero-shot,0.26053,0.0963,0.07395,0.09802,0.15907,0.2313,0.0,0.0
llama3_8b_instruct_stats-prompt,0.01118,0.05159,0.11952,0.42906,0.03181,0.09286,0.0,0.0
llama3_8b_instruct_zero-shot-CoT,0.13586,0.02236,0.16165,0.37489,0.04815,0.14531,0.0,0.0
llama2_7b_stats-prompt,0.06449,0.12038,0.14531,0.10834,0.2356,0.16337,0.0,0.0
llama2_13b_zero-shot,0.06277,0.07395,0.15305,0.1178,0.28461,0.21582,0.0,0.0
llama2_7b_one-shot-CoT,0.1135,0.10576,0.10748,0.10318,0.18917,0.21496,0.0,0.0
llama3_8b_instruct_one-shot,0.01548,0.04471,0.12726,0.42046,0.03783,0.08083,0.0,0.0
llama2_13b_one-shot-CoT,0.03439,0.07223,0.23388,0.17455,0.16853,0.11264,0.0,0.0
