split,source_index,dataset,task
probe-train,4929,Real Estate Valuation Dataset,Distribution Compliance Test
probe-train,10155,FIFA Official Dataset 2023,Descriptive Statistics
probe-train,1210,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,3418,Bank Customer Churn Prediction Dataset,Contingency Table Test
probe-train,291,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,1732,Terrorist Attacks Dataset,Correlation Analysis
probe-train,8324,FIFA Official Dataset 2023,Descriptive Statistics
probe-train,7351,Student Information and Grades Dataset,Contingency Table Test
probe-train,3600,Student Performance Prediction Dataset,Correlation Analysis
probe-train,10283,Student Performance Prediction Dataset,Contingency Table Test
probe-train,4099,Los Angeles Library Monthly Statistics,Variance Test
probe-train,5234,Salary Dataset by Job Title and Country,Distribution Compliance Test
probe-train,3364,Student Performance Prediction Dataset,Contingency Table Test
probe-train,7733,Obesity or CVD Risk Dataset,Descriptive Statistics
probe-train,650,FIFA Official Dataset 2023,Variance Test
probe-train,8215,Dataset for Admission in the University,Contingency Table Test
probe-train,60,Crop Production Dataset,Distribution Compliance Test
probe-train,4542,Terrorist Attacks Dataset,Distribution Compliance Test
probe-train,1942,Salary Dataset by Job Title and Country,Variance Test
probe-train,10372,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,9859,Obesity or CVD Risk Dataset,Descriptive Statistics
probe-train,5360,Dataset for Admission in the University,Variance Test
probe-train,8886,Student Performance Prediction Dataset,Contingency Table Test
probe-train,9622,Customer Personality Analysis Dataset,Distribution Compliance Test
probe-train,4010,Terrorist Attacks Dataset,Correlation Analysis
probe-train,7144,Video Games Sales Dataset,Descriptive Statistics
probe-train,225,Pokedex Dataset,Variance Test
probe-train,3487,Customer Personality Analysis Dataset,Correlation Analysis
probe-train,6470,Obesity or CVD Risk Dataset,Correlation Analysis
probe-train,5696,Crop Production Dataset,Variance Test
probe-train,1998,Green House Gas Produce by Different Industry,Descriptive Statistics
probe-train,6649,Fruits and Vegetables Prices Dataset,Descriptive Statistics
probe-train,7338,Stroke Prediction Dataset,Distribution Compliance Test
probe-train,681,Crop Production Dataset,Distribution Compliance Test
probe-train,8512,Jobs and Salaries Dataset,Contingency Table Test
probe-train,3921,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,313,Crop Production Dataset,Variance Test
