Pearson Correlation Coefficient,Spearman Correlation Coefficient,Kendall Correlation Coefficient,Partial Correlation Coefficient,Anderson-Darling Test,Shapiro-Wilk Test of Normality,Kolmogorov-Smirnov Test for Normality,Lilliefors Test,Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test for Uniform distribution,Kolmogorov-Smirnov Test for Gamma distribution,Kolmogorov-Smirnov Test for Exponential distribution,Chi-square Independence Test,Fisher Exact Test,Mantel-Haenszel Test,Mean,Median,Mode,Range,Quartile,Standard Deviation,Skewness,Kurtosis,Mood Variance Test,Levene Test,Bartlett Test,F-Test for Variance
-0.109894693,0.0035144086,-0.00226552994,-8.44884682,-7.27426815,-6.01140165,-7.50051165,-9.33928299,-2.91761422,-12.9833488,-11.7507582,-10.8889065,-7.76389265,-6.86703157,-10.4018011,-10.9852581,-11.00842,-11.9745741,-8.52839851,-10.3612423,-15.0570192,-8.59182167,-8.60660648,4.43272066,3.9368422,2.43681359,2.55685663
4.75206041,4.21222591,4.8584075,-3.6769042,-15.5991621,-17.0140514,-15.9018192,-15.0057144,-4.27316475,-13.9428902,-11.393363,-9.88233662,-4.58611965,-7.86435223,-10.2653885,-12.5591497,-14.4335966,-11.7691507,-12.7302561,-14.8238173,-19.8621464,-11.2573862,-10.8248005,-7.60677195,-7.05179071,-6.22170496,-5.85048151
-4.28016233,-3.82330132,8.74150562,-7.16162586,-11.517704,-11.1225204,-11.2439251,-14.0654507,-9.21484375,-17.0455666,-9.45664501,-8.75345993,-5.22831297,-5.28829002,-13.0009508,-9.54738903,-11.975399,-11.6991367,-9.19309044,-14.9993839,-15.3824453,-8.77237701,-9.5621357,-8.8867569,-8.94647694,-5.33712244,-5.02380371
-17.8913422,-17.0842171,-16.3568764,-19.7683239,-6.88599157,-15.2029924,-7.46335983,-7.65937185,-27.7525692,-19.7169018,-12.1937876,-11.4858923,-19.3173542,-15.8755083,-25.8590279,-10.8080273,-9.27657318,-12.1251335,-5.32604647,-10.6471319,9.24290562,-8.1066227,-7.50431108,-11.4050369,-11.2145939,-9.33281803,-8.9358263
-0.871776462,-0.834440827,0.00278889574,-8.720891,-12.9928789,-17.6555634,-13.0057192,-11.7731819,-9.67196846,-14.93116,-10.081706,-12.0655117,4.9802146,-4.00920677,-6.88148642,-13.5401173,-14.5424347,-9.79711723,-11.7614098,-15.6061192,-17.4997749,-9.33719826,-11.4735909,-10.7259073,-10.2687006,-10.5646486,-10.1431417
-25.7640972,-25.1385403,-22.9640083,-14.8773346,-15.1155062,-22.2012444,-15.012249,-11.2993937,-20.3970184,-15.7807283,-13.3407507,-16.0567989,-30.207325,-20.632534,-21.4995155,-18.034586,-5.04509258,-12.2599201,-12.4899035,11.8354158,-16.0304241,-12.3708076,-14.9402218,-26.83461,-25.9683781,-26.7033157,-26.0174541
-9.914814,-9.36454201,-9.19728947,-18.9556618,9.09627914,-2.1080792,8.90073967,6.24486256,-9.41261292,-5.74138975,-8.4512949,-7.69279242,-10.2172832,-6.34785175,-21.6960964,-13.6564512,-11.4009714,-10.2836571,-11.6579456,-9.35327053,-12.8106127,-9.32426929,-8.25557709,-15.4664898,-14.7124271,-12.3799934,-11.9802856
-24.6261959,-24.0653019,-20.7352924,-15.724679,-16.2495289,-21.4196014,-16.1546745,-13.5447149,-22.9567528,-16.9502697,-13.532073,-15.4423723,-30.6259022,-21.5097599,-22.3847008,-15.0548182,-5.36488056,-11.4591932,-10.28195,9.90797901,-14.6389427,-11.2899113,-14.244544,-24.2580585,-23.7966194,-25.4200268,-24.564106
-12.5603619,-11.8538733,-12.7811117,-15.301549,-15.0790939,-20.6304321,-14.9395838,-11.8632669,-22.1480923,-16.4547138,-9.28958225,-7.72616816,-22.1733551,-15.2178631,-19.1156502,-12.119523,-8.08612633,-9.28739262,-12.9944935,-11.1298285,-5.95743465,-7.50536299,8.80823135,-16.1457863,-15.9226742,-17.1996002,-16.0891438
-0.750169933,-0.631501794,-0.865434647,-10.0904617,-10.1760693,-15.3196154,-10.1989288,-7.53510523,-8.81447506,-14.7971039,-11.9426126,-10.3828001,-9.962183,-7.74964571,-9.85574436,-11.0934811,-13.9595604,-13.1522579,-8.37499809,-11.8061666,-12.3035145,-9.26626968,-9.05360031,2.08709407,2.02213788,-5.95585251,-5.52057695
-35.1938057,-33.6029053,-28.7506256,-26.4414673,-18.0991402,-12.5189629,-18.4557018,-20.8456306,-22.0794258,-10.8228817,-13.8690643,-15.4857206,-8.86617947,-8.28737545,-20.9538383,-13.777174,-17.3369331,15.7542286,-9.44138336,-7.06158209,-22.4042606,-16.5602932,-6.42200041,-37.9953423,-35.8741379,-30.2225227,-29.2497921
-18.3126221,-17.0134678,-14.3572626,-17.7539139,-8.44691372,-15.6027012,-8.37877083,-8.75971985,-28.3796234,-22.208746,-13.108057,-10.9912558,-24.2985134,-16.15098,-24.0167122,-8.02946663,-8.51289272,-12.060441,-8.2497406,-11.4044313,10.0691624,-8.05845928,-9.45444965,-12.9844913,-12.2842627,-10.063571,-9.48021412
-16.9265232,-15.8395157,-15.5493984,-11.7816439,-11.9238834,-5.91570663,-11.8863487,-15.3815041,13.380558,-4.16022205,-8.37672043,-9.64605618,-10.135479,-7.91226673,-17.6632805,-13.9288464,-10.3220539,-8.67301941,-12.7442732,-5.21399212,-19.8797321,-11.5092459,-5.77012348,-12.2648802,-11.3871479,-9.30336952,-8.9841795
-10.5040359,-10.037159,-10.6008358,-13.6933861,-10.1648417,-16.8204136,-9.89286995,-8.93949413,-12.7505875,-15.7239428,-12.2579298,-10.6399593,-16.0164204,-11.867012,-10.0387154,-12.8821487,-16.606699,-14.9179087,-14.5427246,-11.2699165,-5.8645649,-15.2359505,-12.3799419,11.0622272,10.4706306,-3.99199152,-3.78153062
-5.85807991,-5.36358023,-5.31265211,-8.09089756,-9.99233055,-11.5504074,-9.66938686,-9.60250854,-5.78819132,-10.3086319,-11.1600065,-11.2480087,4.30070877,2.72321057,-5.6720686,-12.13657,-14.7158279,-7.58030701,-9.94092369,-10.2040472,-18.3009796,-10.5170841,-6.65036631,-13.4324713,-12.8092709,-13.1315813,-12.4041834
-6.23083925,-5.74549723,-5.63980913,-8.63478279,-11.2971277,-14.1732368,-11.0554619,-10.4893475,-7.25983763,-10.8734531,-11.9702806,-10.5198183,5.99896669,0.597862244,-3.54989743,-12.7969723,-14.8526669,-8.56027126,-10.3867474,-11.8063536,-19.4769821,-11.9139004,-9.62200832,-11.3337107,-10.7546291,-11.245389,-10.8784513
-21.065834,-20.3838253,-17.5601768,-14.581336,-10.6606417,-17.1770592,-10.4696627,-8.64091492,-21.6014843,-17.3217735,-12.5328388,-11.6462631,-27.3542843,-18.9492512,-23.927412,-6.59182453,9.637784,-5.68194866,-11.6031237,-8.32868671,-12.7516813,-7.09103489,-13.0455227,-26.0054951,-25.5139294,-23.9360046,-22.9824638
-30.6411896,-29.2153091,-15.4424019,-15.1319046,-11.2513456,-9.84356594,-11.2733202,-15.630434,-20.1065903,-16.221529,-12.0373898,-11.2057676,-27.1774216,-18.5094452,-23.6721802,-7.75981617,7.85203695,-4.47404337,-9.93279839,-6.7994523,-13.5928202,-9.2789526,-10.8594589,-27.4861908,-27.1362419,-19.3588142,-18.5684662
-3.87613678,-3.50323844,-4.85370207,-5.03455353,-12.159894,-16.2537117,-12.242815,-10.4572601,-4.042243,-12.0693178,-9.94369411,-9.89976215,-3.07384658,-3.38226771,1.37752426,-13.0197344,-13.7963219,-10.090477,-13.296422,-12.1206598,-19.4156799,-9.892416,-12.2135286,-8.68142414,-8.29708767,-10.369153,-10.003294
-9.78735352,-9.30287838,-10.4979134,-13.5872288,-11.5735426,-15.2207203,-11.6055975,-10.6365614,-10.1278877,-4.69578695,-11.5191708,-10.9967499,-10.2506666,-10.3143978,-10.2835274,-14.099452,-16.0744648,-12.6806231,-13.075264,-9.70120049,-10.3161039,-14.8235884,-11.4324312,6.87634373,6.54106092,-4.36367416,-4.15157366
-8.08913898,-7.59764814,-8.53608418,-12.7824287,-10.7698736,-8.72021866,-10.8084345,-15.5389967,-8.93328857,-14.471468,-11.4048615,-12.3279104,-13.9070377,-13.252923,-8.86970615,-12.0996857,-14.6594429,-11.946455,-10.580719,-9.70079041,-8.20465088,-11.4392757,-8.11621666,10.597928,10.2078524,5.39230156,5.3553524
