Pearson Correlation Coefficient,Spearman Correlation Coefficient,Kendall Correlation Coefficient,Partial Correlation Coefficient,Anderson-Darling Test,Shapiro-Wilk Test of Normality,Kolmogorov-Smirnov Test for Normality,Lilliefors Test,Kolmogorov-Smirnov Test,Kolmogorov-Smirnov Test for Uniform distribution,Kolmogorov-Smirnov Test for Gamma distribution,Kolmogorov-Smirnov Test for Exponential distribution,Chi-square Independence Test,Fisher Exact Test,Mantel-Haenszel Test,Mean,Median,Mode,Range,Quartile,Standard Deviation,Skewness,Kurtosis,Mood Variance Test,Levene Test,Bartlett Test,F-Test for Variance
-9.39760303,-8.74706268,-8.37663174,-16.4924679,10.1478224,-4.20206881,10.1062536,7.70991278,-8.46243858,-6.07047796,-8.89555454,-6.25292969,-10.2689381,-6.55975866,-23.4185867,-12.3049946,-10.6061344,-10.4557981,-12.7719975,-9.60107803,-13.4178915,-8.65874386,-6.58705664,-15.9607048,-15.1784992,-12.2673779,-12.0347939
-14.513588,-13.7652502,-7.6752882,-12.8061485,-7.87644386,-14.693325,-7.88862133,-8.07772923,-21.9304352,-18.2858276,-12.9675341,-8.60148048,-22.8191814,-15.7928295,-22.8049431,7.04394341,-4.17985296,-9.04732132,-3.83871484,-11.7493439,-9.00153065,-7.44595528,-6.80497503,-16.4720497,-16.4107418,-16.1840553,-15.5651093
0.0325121209,0.128369957,8.28258228,-7.07780743,-11.850318,-12.3976269,-11.7079067,-12.5669889,-8.81632233,-15.2631922,-11.3648071,-10.4719982,-5.28174019,-4.7784462,-13.3374853,-9.29741287,-12.6285915,-12.1766348,-8.95167351,-13.7683086,-17.0966225,-9.31028938,-9.79894924,-4.57028246,-4.44170046,-4.76660824,-4.49994564
-5.5852375,-4.9762392,-5.55905294,-5.18789864,-10.8170719,-13.8931904,-10.936286,-9.46121502,-3.81484509,-12.5785837,-10.3244133,-12.1139326,-2.39457941,-2.29864311,4.33810854,-10.0528622,-13.5240231,-8.87682247,-11.3715315,-9.67428303,-18.5881271,-8.99953365,-9.51619244,-8.03986454,-7.9760046,-10.1865301,-9.74441624
-4.37918091,-3.92261386,-5.25694323,-8.3086586,-6.90148783,-12.5758858,-6.73153973,-5.99053001,9.54433346,-9.98518658,-11.8690939,-10.8203268,-5.76083851,-5.60711432,-11.2943621,-12.0524826,-11.4879532,-10.8826427,-10.6059914,-9.30429077,-18.5388279,-8.74901676,-6.4904294,-3.26737952,-3.02406859,-8.21215153,-7.99750376
-1.68271029,-1.30725241,-1.58316541,11.6086149,-11.7508173,-16.5927181,-11.8026638,-7.00552177,-5.99228191,-15.5084248,-9.84431267,-7.90596104,-15.0121078,-14.7568579,-6.84641218,-8.69894981,-11.0746336,-12.5147152,-10.4337912,-12.9994793,-15.3465576,-9.76515007,-8.18769073,-9.53251362,-9.03209877,-12.7426138,-12.5947609
-13.8241673,-12.8363457,-11.0816154,-16.3491383,-9.3865099,-14.2212057,-9.32203197,-9.19165134,-19.4540462,-18.3130722,-12.4501038,-12.5611629,-19.7876453,-14.9086866,-21.4421177,-7.89960432,-8.60016441,-10.9927168,6.03508282,-7.18949699,-4.48584604,-7.06150913,0.239066496,-5.90646935,-6.02304745,-12.1716137,-11.7497072
-5.16789818,-4.79873419,-4.73182344,-10.9684019,-11.8076544,-15.4162426,-11.623004,-10.8115587,-6.11136436,-12.2900734,-12.1128969,-11.6725492,8.43707275,4.44630671,-4.87646961,-12.3105955,-14.3955879,-8.59366703,-10.4310608,-11.7531157,-19.6099911,-10.4043655,-10.3179321,-9.59914398,-9.18807316,-11.3921108,-11.2053204
3.56079316,3.30775738,2.47313166,-1.57187665,-12.6225443,-20.3811016,-12.3240767,-7.2729063,-6.7007966,-17.3429642,-8.07260704,-10.1536102,-8.77301025,-6.83364916,-10.5119715,-10.0254221,-11.5239496,-13.1435585,-13.6908474,-16.0797348,-16.2965603,-10.6628809,-10.6001129,-7.52424145,-7.49097967,-9.67544556,-9.10912991
-8.92724419,-9.24333668,-8.31994438,-13.613265,-13.3614998,-16.437027,-13.8871298,-13.9085779,-9.37878132,-8.28110123,-9.96819019,-10.5005503,9.84780121,-4.48552608,-14.9485474,-16.3132935,-16.8619728,-6.67426395,-14.8967466,-13.6934328,-19.0769081,-15.0617285,-15.1826439,-17.3051605,-15.7928019,-12.781352,-12.4326096
